region	year	dead	missing	deadmissing	survivors	lat	lon	route
Mediterranean	2019	1		1	2	35.384524413151	 -1.278253990517	Western Mediterranean
Mediterranean	2019	1		1		36.334378214124	 0.715927412066	Western Mediterranean
Mediterranean	2019	1		1	2	35.398647116844	 -1.389655987849	Western Mediterranean
Mediterranean	2019		53	53	1	35.683709040408	 -3.185250605342	Western Mediterranean
Mediterranean	2019	1		1		35.289594291265	 -2.933496506173	Western Mediterranean
Mediterranean	2019	1		1	6	35.261606842877	 -2.901902411860	Western Mediterranean
Mediterranean	2019	1		1		36.685755388762	 -2.777835705707	Western Mediterranean
Mediterranean	2019	1		1		36.485367400000	 -4.738263000000	Western Mediterranean
Mediterranean	2019	1		1	67	35.886028764776	 -3.811126192952	Western Mediterranean
Mediterranean	2019	1		1		36.184741288501	 -5.915458663672	Western Mediterranean
Mediterranean	2018	4		4	56	35.481680686032	 -3.342110714760	Western Mediterranean
Mediterranean	2018		2	2	69	36.175539175051	 -3.432980466971	Western Mediterranean
Mediterranean	2018		12	12		35.940386653024	 -5.940460712849	Western Mediterranean
Mediterranean	2018	1		1		35.914961693807	 -5.380634704776	Western Mediterranean
Mediterranean	2018	12	12	24	31	36.385858171134	 -2.625576919231	Western Mediterranean
Mediterranean	2018	1		1	56	35.862101496706	 -3.230474337214	Western Mediterranean
Mediterranean	2018	8	12	20	9	36.656665744128	 1.229045427169	Western Mediterranean
Mediterranean	2018	1		1	58	36.174642255222	 -3.809567348437	Western Mediterranean
Mediterranean	2018	2		2	49	35.555360000000	 -3.233348000000	Western Mediterranean
Mediterranean	2018	1		1		35.948083000000	 -5.277967000000	Western Mediterranean
Mediterranean	2018	3	3	6	5	36.993449000000	 4.395623000000	Western Mediterranean
Mediterranean	2018	2		2	32	36.206410000000	 -0.440445000000	Western Mediterranean
Mediterranean	2018	1		1	56	35.944056000000	 -4.296153000000	Western Mediterranean
Mediterranean	2018	3		3	90	36.150154000000	 -3.405538000000	Western Mediterranean
Mediterranean	2018		1	1	13	35.943355978115	 -2.447945545313	Western Mediterranean
Mediterranean	2018	20	9	29	39	35.332202000000	 -2.746510000000	Western Mediterranean
Mediterranean	2018	1	13	14	42	36.125482848253	 -3.019234607813	Western Mediterranean
Mediterranean	2018	2	7	9	1	36.207723272813	 -6.263366759375	Western Mediterranean
Mediterranean	2018	2		2	13	36.709463477802	 -4.221767056592	Western Mediterranean
Mediterranean	2018	1		1		35.896543454211	 -5.300197427261	Western Mediterranean
Mediterranean	2018	23		23	22	36.146208377123	 -6.010210826953	Western Mediterranean
Mediterranean	2018	13	18	31	80	35.537958511526	 -2.934664072461	Western Mediterranean
Mediterranean	2018	1		1		35.157968537571	 -2.905610943750	Western Mediterranean
Mediterranean	2018	1		1	54	35.818965090848	 -4.128170864062	Western Mediterranean
Mediterranean	2018		54	54		35.783607000000	 -3.071865000000	Western Mediterranean
Mediterranean	2018	1	13	14	2	35.442087951783	 -3.127679063281	Western Mediterranean
Mediterranean	2018	2		2		35.357502053477	 -3.798174029297	Western Mediterranean
Mediterranean	2018	2		2		35.317074762986	 -2.958625089834	Western Mediterranean
Mediterranean	2018	1		1		35.288086655038	 -3.114351178125	Western Mediterranean
Mediterranean	2018	1		1		35.756883552199	 -0.755644093457	Western Mediterranean
Mediterranean	2018	1		1	38	35.846340387609	 -5.913605178906	Western Mediterranean
Mediterranean	2018	1		1		35.973656616085	 -0.352090264063	Western Mediterranean
Mediterranean	2018	3	17	20	35	36.125482848253	 -3.063179920313	Western Mediterranean
Mediterranean	2018	2		2		35.824565299138	 -0.803768973047	Western Mediterranean
Mediterranean	2018	2	2	4	13	35.968663407358	 -0.020727710156	Western Mediterranean
Mediterranean	2018		2	2	9	35.870826490690	 -5.847687210156	Western Mediterranean
Mediterranean	2018	1		1		35.812872875659	 -0.806515555078	Western Mediterranean
Mediterranean	2018	1		1		35.818105158253	 -0.168227100000	Western Mediterranean
Mediterranean	2018	2		2		35.817327335279	 -0.801022391016	Western Mediterranean
Mediterranean	2018	15	19	34	26	35.936532863732	 -6.646877176971	Western Mediterranean
Mediterranean	2018	1		1		36.728184551089	 -3.746214307471	Western Mediterranean
Mediterranean	2018	1		1	24	35.844528862139	 -5.324127403955	Western Mediterranean
Mediterranean	2018	1		1		35.938908600000	 -3.035714100000	Western Mediterranean
Mediterranean	2018	1		1		35.664937500000	 -5.284312500000	Western Mediterranean
Mediterranean	2018	1		1		35.904039081783	 -5.272830745972	Western Mediterranean
